Depth	Speed	Tip	Friction	Pressure	SBT
87.664	2	0.40285	0.24853	0.2129	1
87.73	0.2	0.40231	0.24805	0.21603	1
87.795	2	0.40183	0.24763	0.21894	1
87.861	2.29	0.40118	0.24732	0.2207	1
87.927	2	0.40096	0.24799	0.22376	1
87.992	2	0.40139	0.24914	0.2267	1
88.058	2	0.4019	0.24915	0.24286	1
88.123	2	0.40196	0.24999	0.25745	1
88.189	1.97	0.40203	0.25128	0.26414	2
88.255	2	0.4022	0.25171	0.27052	2
88.32	2.29	0.40225	0.25098	0.27565	2
88.386	2	0.40206	0.24978	0.2774	2
88.451	2	0.40171	0.24975	0.27935	2
88.517	2	0.40156	0.25042	0.28213	2
88.583	2	0.4016	0.2507	0.28469	2
88.648	2	0.40171	0.25079	0.28799	2
88.714	2	0.40277	0.25027	0.29187	2
88.78	2	0.40287	0.25112	0.29995	2
88.845	2	0.40252	0.25148	0.30306	2
88.911	2.29	0.40266	0.25069	0.3031	2
88.976	2	0.40245	0.25073	0.30544	2
89.042	2	0.40226	0.25081	0.30781	2
89.108	2	0.4026	0.25086	0.31046	2
89.173	2	0.40358	0.25148	0.31497	2
89.239	2.29	0.40436	0.25123	0.32195	2
89.304	2	0.40452	0.25162	0.32681	2
89.37	2	0.40524	0.25176	0.33	2
89.436	2	0.40613	0.25153	0.33383	2
89.501	2	0.40554	0.25127	0.33933	2
89.567	2	0.40431	0.25155	0.33854	2
89.633	2	0.40278	0.25106	0.33092	2
89.698	2.29	0.40122	0.25015	0.32448	2
89.764	1.88	0.40003	0.24709	0.3168	2
89.829	2	0.39979	0.24404	0.31347	2
89.895	2	0.40033	0.24194	0.31278	2
89.961	2	0.40008	0.23887	0.31281	2
90.026	2	0.39943	0.23634	0.31711	2
90.092	2	0.39959	0.23676	0.32023	2
90.157	2	0.40044	0.24046	0.32266	2
90.223	2.29	0.40112	0.24616	0.32442	2
90.289	2	0.40053	0.24493	0.32934	2
90.354	2	0.40027	0.25109	0.32889	2
90.42	2	0.40222	0.25702	0.32801	2
90.486	2	0.41199	0.26567	0.33006	2
90.551	2	0.43276	0.27931	0.2992	2
90.617	2	0.44931	0.2829	0.17246	5
90.682	2	0.44995	0.28246	0.0971	5
90.748	2	0.43276	0.28294	0.0995	5
90.814	2	0.42159	0.27978	0.11284	5
90.879	0.67	0.41578	0.27398	0.12792	5
90.945	1.6	0.41264	0.26827	0.13848	5
91.01	2	0.41025	0.26017	0.14326	5
91.076	2	0.40937	0.26104	0.15701	5
91.142	2	0.40879	0.2612	0.16947	5
91.207	0.2	0.41001	0.26367	0.19632	1
91.273	2	0.4106	0.26616	0.20016	1
91.339	2	0.40865	0.26295	0.21437	1
91.404	2	0.41059	0.27132	0.21998	1
91.47	2	0.4142	0.27836	0.22774	1
91.535	2	0.42403	0.27558	0.27416	1
91.601	1.78	0.4336	0.2737	0.21851	1
91.667	2	0.42786	0.2768	0.15474	5
91.732	2	0.43345	0.28662	0.18012	5
91.798	2	0.44764	0.28574	0.16326	5
91.864	1.97	0.44443	0.27917	0.12137	5
91.929	2	0.42815	0.28189	0.1225	5
91.995	2	0.41807	0.29012	0.14993	5
92.06	2	0.41653	0.27958	0.16403	5
92.126	2	0.4188	0.26605	0.17513	5
92.192	2	0.41877	0.26049	0.18068	5
92.257	2	0.41673	0.26172	0.1827	5
92.323	2	0.41232	0.26486	0.19051	1
92.388	2	0.41024	0.26572	0.19823	1
92.454	2	0.4088	0.25978	0.20843	1
92.52	2	0.4081	0.25933	0.21706	1
92.585	2	0.4087	0.26199	0.22604	1
92.651	2	0.41118	0.26092	0.23749	1
92.717	1.78	0.41793	0.26055	0.24935	1
92.782	2	0.4266	0.26196	0.23871	1
92.848	2	0.42655	0.26158	0.22373	1
